"","Name","OverallRank","Seattle","NYC","UniqueToSeattle","UniqueToNYC"
"2426","Cosmos",2426,1492,NA,TRUE,FALSE
"2427","Courtney",2427,2618,2363,FALSE,FALSE
"2428","Cranberry",2428,NA,1370,FALSE,TRUE
"2429","Crookshanks",2429,1493,NA,TRUE,FALSE
"2430","Crowley",2430,1494,NA,TRUE,FALSE
"2431","Cubby",2431,2629,2367,FALSE,FALSE
"2432","Curie",2432,2631,2369,FALSE,FALSE
"2433","Curry",2433,2632,2371,FALSE,FALSE
"2434","Cutie",2434,NA,1374,FALSE,TRUE
"2435","Daffy",2435,NA,1375,FALSE,TRUE
"2436","Dalton",2436,5321,1755,FALSE,TRUE
"2437","Damu",2437,1912,4443,TRUE,FALSE
"2438","Dan",2438,1913,4444,TRUE,FALSE
"2439","Dasha",2439,2639,2384,FALSE,FALSE
"2440","Dawn",2440,2641,2386,FALSE,FALSE
"2441","Dawson",2441,1918,4483,TRUE,FALSE
"2442","Deacon",2442,1919,4491,TRUE,FALSE
"2443","Delaney",2443,1921,4513,TRUE,FALSE
"2444","Derby",2444,1923,4537,TRUE,FALSE
"2445","Dharma",2445,2653,2394,FALSE,FALSE
"2446","Dickens",2446,2655,2397,FALSE,FALSE
"2447","Digby",2447,2656,2398,FALSE,FALSE
"2448","Dimitri",2448,2659,2403,FALSE,FALSE
"2449","Donny",2449,5503,1773,FALSE,TRUE
"2450","Donovan",2450,2668,2412,FALSE,FALSE
"2451","Dove",2451,1930,4638,TRUE,FALSE
"2452","Doxie",2452,NA,1391,FALSE,TRUE
"2453","Doyle",2453,1931,4641,TRUE,FALSE
"2454","Dragon",2454,1932,4644,TRUE,FALSE
"2455","Drake",2455,1933,4646,TRUE,FALSE
"2456","Dudu",2456,2679,2421,FALSE,FALSE
"2457","Dune",2457,5587,1782,FALSE,TRUE
"2458","El",2458,NA,1399,FALSE,TRUE
"2459","Elby",2459,1940,4730,TRUE,FALSE
"2460","Elke",2460,5686,1789,FALSE,TRUE
"2461","Elmo",2461,2696,2436,FALSE,FALSE
"2462","Elodie",2462,2697,2437,FALSE,FALSE
"2463","Elton",2463,2699,2438,FALSE,FALSE
"2464","Emmylou",2464,2703,2439,FALSE,FALSE
"2465","Ernest",2465,1950,4782,TRUE,FALSE
"2466","Esmerelda",2466,1952,4793,TRUE,FALSE
"2467","Essie",2467,1517,NA,TRUE,FALSE
"2468","Eugene",2468,5809,1798,FALSE,TRUE
"2469","Evelyn",2469,1956,4812,TRUE,FALSE
